epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,8565.78,1.1663,0.80319,1.15234,0.74921,0.76426,0.78776,0.44805,1.50745,1.06087,1.35359,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,8846.27,1.16247,0.79573,1.15066,0.76248,0.77539,0.78563,0.44817,1.53548,1.03084,1.37383,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,9126.64,1.14952,0.77673,1.14118,0.75085,0.76587,0.78672,0.44733,1.53313,1.05421,1.3657,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,9406.97,1.15066,0.7763,1.13108,0.76916,0.76129,0.77924,0.44754,1.51489,1.07149,1.35871,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,9689.34,1.13799,0.77528,1.1362,0.74425,0.77552,0.77806,0.4417,1.53528,1.08368,1.37546,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,9970.89,1.10984,0.75345,1.12138,0.75064,0.79204,0.79065,0.44961,1.52374,1.02593,1.36361,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,10254.6,1.1198,0.75161,1.12824,0.72216,0.7829,0.78435,0.44359,1.53585,1.1147,1.37663,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,10535.5,1.11321,0.75314,1.11967,0.72093,0.78935,0.77894,0.44218,1.52368,1.10089,1.37732,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,10819.6,1.11263,0.74466,1.12038,0.73496,0.78073,0.78517,0.44505,1.52271,1.05777,1.37262,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,11100.6,1.11748,0.73409,1.12479,0.74341,0.7822,0.78695,0.44894,1.53406,1.04598,1.37852,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,11381.5,1.10455,0.72899,1.12233,0.74023,0.79372,0.7878,0.44904,1.51383,1.07904,1.36655,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
