epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,90678.6,1.14067,0.85887,1.25493,0.73338,0.79406,0.78618,0.44196,1.51254,1.00607,1.56963,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,93544.1,1.14123,0.84622,1.25288,0.74115,0.80826,0.78386,0.4449,1.49688,0.96196,1.53636,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,96408.3,1.11656,0.8297,1.23558,0.73814,0.79973,0.78998,0.45522,1.49169,0.99772,1.53563,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,99273.9,1.13618,0.83678,1.24617,0.73061,0.77839,0.78311,0.44409,1.49706,1.02137,1.53291,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,102142,1.11554,0.82528,1.24448,0.74544,0.78717,0.78085,0.44374,1.51015,1.01798,1.54778,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,105019,1.10729,0.78859,1.22283,0.7445,0.79209,0.77878,0.44161,1.5012,0.99883,1.54657,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,107895,1.11141,0.80542,1.22542,0.73349,0.76787,0.77316,0.442,1.5132,1.05122,1.55373,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,110771,1.0988,0.79493,1.22164,0.75454,0.77018,0.77391,0.44214,1.50046,1.03688,1.53045,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,113645,1.07989,0.78096,1.2153,0.75574,0.76153,0.7774,0.44515,1.50707,1.02094,1.53772,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,116521,1.06111,0.76043,1.21035,0.75274,0.75705,0.76795,0.44251,1.50936,1.04436,1.55773,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,119388,1.06129,0.75145,1.20008,0.74549,0.76878,0.77642,0.44888,1.50852,1.01758,1.54603,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,122239,0.94311,0.55398,1.13688,0.73065,0.7814,0.77565,0.44174,1.51814,1.05949,1.54914,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,125092,0.92795,0.53398,1.13116,0.73885,0.76786,0.77546,0.44057,1.51074,1.07402,1.55019,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,127944,0.91179,0.52792,1.12247,0.73865,0.78282,0.77194,0.44092,1.50686,1.05673,1.56322,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,130804,0.90968,0.52271,1.11925,0.7278,0.77108,0.76457,0.43729,1.51013,1.10675,1.55367,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,133662,0.90476,0.50892,1.1121,0.73399,0.76683,0.76374,0.43749,1.52278,1.09939,1.57579,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,136521,0.88123,0.49833,1.10479,0.76113,0.75061,0.76579,0.44056,1.51731,1.09261,1.57475,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,139374,0.87959,0.49602,1.10173,0.73805,0.7698,0.77062,0.44043,1.51921,1.08604,1.58737,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,142230,0.86077,0.4851,1.09589,0.73158,0.76221,0.76831,0.44034,1.52514,1.08424,1.59465,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,145085,0.86999,0.48536,1.09373,0.74587,0.75823,0.76768,0.43827,1.53005,1.10099,1.59991,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
50,147948,0.86394,0.4765,1.09814,0.73624,0.76713,0.76684,0.43848,1.53108,1.08941,1.60473,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05,8.94e-05,2.98e-05
