epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,91805.6,1.16899,0.68394,1.23329,0.88445,0.86793,0.91231,0.54159,1.43549,0.6451,1.43797,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258,0.0012774,0.0004258
31,94704.5,1.16084,0.66977,1.22413,0.87383,0.87612,0.91093,0.54781,1.41411,0.63115,1.41509,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406,0.001218,0.000406
32,97680,1.16248,0.66592,1.22057,0.89392,0.85761,0.91364,0.55004,1.41374,0.63201,1.4256,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862,0.0011586,0.0003862
33,100576,1.16445,0.6637,1.22588,0.88662,0.86342,0.90434,0.54162,1.43398,0.6454,1.45268,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664,0.0010992,0.0003664
34,103474,1.14152,0.65414,1.21975,0.89629,0.85414,0.91036,0.54886,1.42207,0.63672,1.4392,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466,0.0010398,0.0003466
35,106368,1.14119,0.64347,1.21528,0.88415,0.86561,0.90739,0.54412,1.42169,0.64488,1.44417,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268,0.0009804,0.0003268
36,109257,1.13862,0.65211,1.21184,0.88552,0.87294,0.90549,0.54138,1.41792,0.63004,1.44551,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307,0.000921,0.000307
37,112130,1.13563,0.64303,1.20917,0.88312,0.87572,0.91268,0.54307,1.42133,0.63292,1.44514,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872,0.0008616,0.0002872
38,115104,1.11646,0.63313,1.20408,0.88031,0.8679,0.90628,0.54202,1.42494,0.63188,1.4458,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674,0.0008022,0.0002674
39,118079,1.11985,0.63607,1.20844,0.89612,0.86826,0.91434,0.54809,1.41865,0.6265,1.43244,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476,0.0007428,0.0002476
40,121231,1.1068,0.61788,1.1902,0.89084,0.8691,0.91395,0.5466,1.41892,0.62737,1.44379,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278,0.0006834,0.0002278
41,124071,1.01302,0.46005,1.14528,0.88728,0.87166,0.91383,0.54116,1.43329,0.63393,1.46583,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208,0.000624,0.000208
42,126922,0.99951,0.45327,1.14021,0.88579,0.86816,0.91028,0.54367,1.43007,0.63845,1.45475,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882,0.0005646,0.0001882
43,129860,0.98577,0.45002,1.13398,0.87737,0.87105,0.90892,0.54635,1.43024,0.63794,1.46323,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684,0.0005052,0.0001684
44,132797,0.98351,0.44238,1.13336,0.88372,0.87142,0.90748,0.54194,1.43393,0.63223,1.46206,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486,0.0004458,0.0001486
45,135740,0.97561,0.44015,1.12791,0.87692,0.87155,0.90409,0.54076,1.43216,0.63999,1.47055,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288,0.0003864,0.0001288
46,138598,0.96397,0.43479,1.12668,0.88462,0.87145,0.90861,0.54648,1.43077,0.63886,1.46816,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109,0.000327,0.000109
47,141460,0.95797,0.42793,1.11706,0.87812,0.8783,0.90959,0.54641,1.42468,0.63636,1.46466,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05,0.0002676,8.92e-05
48,144588,0.95076,0.42718,1.11411,0.88392,0.87296,0.90672,0.54316,1.42841,0.63985,1.46954,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05,0.0002082,6.94e-05
49,147456,0.95414,0.42641,1.11434,0.88481,0.87052,0.90756,0.54599,1.42731,0.63413,1.46929,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05,0.0001488,4.96e-05
